drug_name,most_positive_comment,most_negative_comment,,
AMBIEN,"Thanks to Viagra-cialis-pharmacy.com, I can now sleep easy at night. They provide secure payment, discreet delivery, and excellent customer service. Thoroughly recommended!",For god sakes do not touch this drug or you will be sorry,,
AMBIEN CR,Good helping pill for sleep and anxiety.,"the bad part of this drug is that I have fibromyalgia and I had an immediate increase in pain that I didn't connect to the drug until we did some online research. I don't recall any problems for me of getting off of it, but then, I don't have problems w/an addictive personality either. It does its job, but the side affects aren't worth it. I quit cold turkey",,
AMERGE,"Amerge did nothing at all for my migraines. I had taken Imitrex for years but it stopped working. All Amerge did for me is make me really sleepy and didn't touch my migraine. It may work wonders for some, so give it a shot! I like Frova much better!","I've been taking this med for 5 years. First 3 years, no stomach ache. Now, I get the stomach ache every other time I take the med. I've had thorough ultrasound to detect gallbladder or other issues. It found nothing wrong. Have never had any other stomach issues in my life.",,
AMIDATE,"I asked not to be given an amnestic, and this was as bad as it could possibly have been for that. As far as induction, I was out instantly, so that was OK, but it wasn't pleasant like some others are. One second awake, next everything black.","I asked not to be given an amnestic, and this was as bad as it could possibly have been for that. As far as induction, I was out instantly, so that was OK, but it wasn't pleasant like some others are. One second awake, next everything black.",,
AMILORIDE HCL AND HYDROCHLOROTHIAZIDE,"I told my docs I didn't want to take HCTZ again and they snuck it in under the name Amiloride. This is the only med that has brought my bp down, but I'm not sure I can live with pain. It feels like I've torn a rotator cuff now in right shoulder.","I told my docs I didn't want to take HCTZ again and they snuck it in under the name Amiloride. This is the only med that has brought my bp down, but I'm not sure I can live with pain. It feels like I've torn a rotator cuff now in right shoulder.",,
AMILORIDE HYDROCHLORIDE,Doesn't help much; additional dosages needed cause diarrhea,"This drug is terrible. While on it I developed severe shoulder pain that was so bad I couldn't sleep at night. The tips of my shoulders were so sore I couldn't even touch them and trying to sleep on my side was impossible it hurt so badly. The last 4 or 5 months I was on Amiloride, all my joints began to hurt. I even hard a hard time just getting out of a chair, I felt so stiff and old. The final straw was when my hands started hurting. I would wake up in the middle of the night with my hands just throbbing and I couldn't even bend my fingers. During the day my hands would ache and if I sat still for over 30 minutes they would get stiff and painful just like at night. It was horrible. I've been off the medication for about 2 weeks now and my pain is 90% gone. Never again!!",,
AMINOPHYLLINE,Highly Effective at treating Asthma,Highly Effective at treating Asthma,,
AMIODARONE HCL,"This drug is NOT even FDA approved for atrial arrhythmias, only life-threatening ventricular ones. It does work against atrial fib but at what cost??? My father would have been much better off in rate controlled atrial fib than in sinus rhythm because he was on amiodarone. If you do take amiodarone, READ THE INFORMATION SUPPLIED BY THE COMPANY AND DEMAND FREQUENT PULMONARY FUNCTION TESTING!!! Also, be aware this drug can remain in your body for anywhere from 20 to 180 days once you have STOPPED taking it!! Be aware and don't let what happened to my father happen to you!!!",Too many bad side effects .. no quality of life NOT a good drug My husband already suffers from depression and dementia... worse now... stay away from this drug!,,
AMIODARONE HYDROCHLORIDE,"Side effects feel debilitated. Difficulty walking, complete lack of balance.",It is Toxic has a Black Box warning! Been off of it now for 1 month Takes months to leave the body due to it's very prolonged half life. SE can still occur even after it is stopped!,,
AMITIZA,"seemed to work great, now not really","This drug did not work for my constipation. I took 2 a day, gave me diarrhea. Then did 1 a day. Still nothing. Added 2 dosages a day of miralax with it, gave me diarrhea. It gave me 1 BM in 6 days. Very disappointed with this drug.",,
AMITRIPTYLINE HCL,More MD's need to know the paradoxical effects of these drugs -- look at the studies - half the subjects drop out.,"Helped somewhat with headaches, eye pain, and insomnia. But side effects were not worth it.",,
AMITRIPTYLINE HYDROCHLORIDE,Had extreme forgetfulness/hard time find words/lost track of what I was saying. Very unusual for me. After I stopped the RX those symptoms went away.,"These reviews are frightening. Some are incoherent regarding dosage, time of dosage strength, length of taper cut by 10% per week should be no problems. So is it the drug or just a negative failed tapering experience?",,
AMITRIPTYLINE HYDROCHORIDE,Works great,Works great,,
AMLODIPINE BESYLATE,Anything over 5mg causes too many side effects.,"I wouldn't recommend this drug to my worst enemy. I feel jittery and lightheaded all day long, it initially dropped my BP then raised it again along with my HR. I ended up in the ER because I felt so weird and was scared. Never again.",,
AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,Amlodipine keeps my blood pressure under control.,Amlodipine keeps my blood pressure under control.,,
AMNESTEEM,"IF YOU'RE SUFFERING YEARS LATER, AFTER STOPPING ACCUTANE AND CAN'T FIGURE OUT WHY....IT'S PROBABLY THE ACCUTANE!!! I thought that side effects, if they hit you, would happen while you're on the drug. Wrong! So many people I know had their bodies PERMANENTLY DESTROYED FOREVER weeks, months, or years after stopping it...even if you feel TOTALLY FINE while on it, just wait for the nightmare to develop. It's a matter of time until your body starts falling apart, after you take this absolutely vile human poison","IF YOU'RE SUFFERING YEARS LATER, AFTER STOPPING ACCUTANE AND CAN'T FIGURE OUT WHY....IT'S PROBABLY THE ACCUTANE!!! I thought that side effects, if they hit you, would happen while you're on the drug. Wrong! So many people I know had their bodies PERMANENTLY DESTROYED FOREVER weeks, months, or years after stopping it...even if you feel TOTALLY FINE while on it, just wait for the nightmare to develop. It's a matter of time until your body starts falling apart, after you take this absolutely vile human poison",,
AMOXAPINE,"Trycyclics have side effects, but I wish there were as effective an antidepressant without the hand shake problem. Later tried Prozac, Paxil, Zooloft with no appreciable effect on depression.","Trycyclics have side effects, but I wish there were as effective an antidepressant without the hand shake problem. Later tried Prozac, Paxil, Zooloft with no appreciable effect on depression.",,
